subject_id,T001s: Country,T001s: County,T001s: State/Province,T002t: Scientific Name,T003t: Location,T006t: Collected By,T008s: Month,T009s: Day,T010s: Year,T012t: Other Notes,T013s: Sex,T016t: Latitude,T017t: Longitude,T018t: Elevation,T020t: DNA Voucher Number,subject_associatedCollectors,subject_associatedTaxa,subject_basisOfRecord,subject_catalogNumber,subject_class,subject_collectionCode,subject_coordinateUncertaintyInMeters,subject_country,subject_county,subject_cultivationStatus,subject_dataGeneralizations,subject_dateIdentified,subject_day,subject_decimalLatitude,subject_decimalLongitude,subject_disposition,subject_dynamicProperties,subject_endDayOfYear,subject_establishmentMeans,subject_eventDate,subject_family,subject_fieldNumber,subject_file1,subject_file2,subject_genus,subject_geodeticDatum,subject_georeferenceProtocol,subject_georeferenceRemarks,subject_georeferenceSources,subject_georeferenceVerificationStatus,subject_georeferencedBy,subject_habitat,subject_identificationQualifier,subject_identificationReferences,subject_identificationRemarks,subject_identifiedBy,subject_individualCount,subject_informationWithheld,subject_infraspecificEpithet,subject_institutionCode,subject_kingdom,subject_lifeStage,subject_locality,subject_localitySecurity,subject_localitySecurityReason,subject_locationRemarks,subject_maximumDepthInMeters,subject_maximumElevationInMeters,subject_minimumDepthInMeters,subject_minimumElevationInMeters,subject_month,subject_municipality,subject_occurrenceID,subject_occurrenceRemarks,subject_order,subject_otherCatalogNumbers,subject_phylum,subject_preparations,subject_recordNumber,subject_recordedBy,subject_recordedByID,subject_reproductiveCondition,subject_retired,subject_samplingEffort,subject_samplingProtocol,subject_scientificName,subject_scientificNameAuthorship,subject_sex,subject_specificEpithet,subject_startDayOfYear,subject_stateProvince,subject_substrate,subject_taxonRank,subject_taxonRemarks,subject_typeStatus,subject_verbatimAttributes,subject_verbatimCoordinates,subject_verbatimDepth,subject_verbatimElevation,subject_verbatimEventDate,subject_year
2193519,Peru,,,paeon Boisduval,"Pasco: Chu - Churas, R. Palcazu",A. C. ALLYN,Not Shown,Not Shown,Not Shown,<NO MATCHES>,Not shown,,,,,,,PreservedSpecimen,HLOPP502,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP502Dorsal.JPG,HLOPP502Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T19:32:35.738Z', 'workflow_id': 2054, 'id': 1980666, 'subject_id': 2193519, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-23T17:19:26.404Z', 'retired_at': '2016-06-23T17:19:26.394Z'}",,,,,,,,,,,,,,,,,,
2193520,Peru,,,paeon Boisduval,"Pasco, Chu. Churas",<NO MATCHES>,Not Shown,Not Shown,Not Shown,,Not shown,,,,,,,PreservedSpecimen,HLOPP503,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP503Dorsal.JPG,HLOPP503Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T19:28:49.470Z', 'workflow_id': 2054, 'id': 1985394, 'subject_id': 2193520, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-23T15:16:11.770Z', 'retired_at': '2016-06-23T15:16:11.722Z'}",,,,,,,,,,,,,,,,,,
2193521,Unknown Country,,,Papilio paeon Boisduval,,,Not Shown,Not Shown,Not Shown,,Not shown,,,,,,,PreservedSpecimen,HLOPP504,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP504Dorsal.JPG,HLOPP504Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T21:40:38.999Z', 'workflow_id': 2054, 'id': 1985698, 'subject_id': 2193521, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-19T14:15:29.469Z', 'retired_at': '2016-06-19T14:15:29.459Z'}",,,,,,,,,,,,,,,,,,
2193525,Bolivia (Plurinational State of),,,Paeon boisduval,"Cochabamba, Yungas de la Paz",M. Simon,8 - August - VIII,9,1989,photographed for Fewis dissertatio,Not shown,,,,H-031,,,PreservedSpecimen,HLOPP505,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP505Dorsal.JPG,HLOPP505Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T01:47:19.744Z', 'workflow_id': 2054, 'id': 1982639, 'subject_id': 2193525, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-22T16:35:27.831Z', 'retired_at': '2016-06-22T16:35:27.777Z'}",,,,,,,,,,,,,,,,,,
2193528,Bolivia (Plurinational State of),,,Paeon boisduval,,,Not Shown,Not Shown,1966,<NO MATCHES>,Not shown,,,,,,,PreservedSpecimen,HLOPP506,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP506Dorsal.JPG,HLOPP506Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T09:50:06.156Z', 'workflow_id': 2054, 'id': 1984024, 'subject_id': 2193528, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-23T10:03:48.132Z', 'retired_at': '2016-06-23T10:03:48.018Z'}",,,,,,,,,,,,,,,,,,
2193531,Bolivia (Plurinational State of),,,Papilio paeon Boisduval,Yungas,,Not Shown,Not Shown,Not Shown,Photographed for Lewis Dissertation,Not shown,,,,,,,PreservedSpecimen,HLOPP507,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP507Dorsal.JPG,HLOPP507Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-21T21:32:32.071Z', 'workflow_id': 2054, 'id': 1994767, 'subject_id': 2193531, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-22T17:24:27.327Z', 'retired_at': '2016-06-22T17:24:27.134Z'}",,,,,,,,,,,,,,,,,,
2193532,Brazil,,,Papilio paeon boisduval,,Leg. J. F. M.,Not Shown,Not Shown,Not Shown,,Male,,,,,,,PreservedSpecimen,HLOPP508,Insecta,,,,,,,,,,,,,,,,Papilionidae,,,HLOPP508Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T00:36:36.326Z', 'workflow_id': 2054, 'id': 1982478, 'subject_id': 2193532, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-23T18:08:18.443Z', 'retired_at': '2016-06-23T18:08:18.424Z'}",,,,,,,,,,,,,,,,,,
2193533,Ecuador,,,Paeon boisduval,Napo. Rio Coca.,R. de Lafebre,Not Shown,Not Shown,1971,,Not shown,,,300 m.,,,,PreservedSpecimen,HLOPP509,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP509Dorsal.JPG,HLOPP509Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T23:18:14.301Z', 'workflow_id': 2054, 'id': 1982133, 'subject_id': 2193533, 'classifications_count': 4, 'retirement_reason': None, 'updated_at': '2016-06-22T13:13:19.933Z', 'retired_at': '2016-06-22T13:13:19.870Z'}",,,,,,,,,,,,,,,,,,
2193536,United States of America,Montgomery,Maryland,Papilio glaucus glaucus,Germantown,H. Pavulaan,4 - April - IV,23,1992,Spring form,Male,,,,LEP-33635,,,PreservedSpecimen,HLOPP50,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP50Dorsal.JPG,HLOPP50Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T00:19:09.979Z', 'workflow_id': 2054, 'id': 1982373, 'subject_id': 2193536, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-19T17:14:09.758Z', 'retired_at': '2016-06-19T17:14:09.522Z'}",,,,,,,,,,,,,,,,,,
2193538,Bahamas,,,H. aristodemus,"Gt Inagua I. Man of War Bay, nr small salina",M. Simon & L. Miller,9 - September - IX,22,1987,Sta 1987-3. Allyn Museum Acc 1987-14.,Not shown,,,,LEP-33643,,,PreservedSpecimen,HLOPP58,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP58Dorsal.JPG,HLOPP58Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-18T09:18:27.553Z', 'workflow_id': 2054, 'id': 1986381, 'subject_id': 2193538, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-28T02:58:40.299Z', 'retired_at': '2016-06-28T02:58:40.280Z'}",,,,,,,,,,,,,,,,,,
2193540,Trinidad and Tobago,,,Papilio thoasnealces,St. Anns,John S. Bowe,8 - August - VIII,24,1968,,Not shown,,,,LEP-33644,,,PreservedSpecimen,HLOPP59,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP59Dorsal.JPG,HLOPP59Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T16:55:15.052Z', 'workflow_id': 2054, 'id': 1984998, 'subject_id': 2193540, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-20T20:05:18.938Z', 'retired_at': '2016-06-20T20:05:18.920Z'}",,,,,,,,,,,,,,,,,,
