subject_id,T001s: Country,T001s: County,T001s: State/Province,T002t: Scientific Name,T003t: Location,T006t: Collected By,T008s: Month,T009s: Day,T010s: Year,T012t: Other Notes,T013s: Sex,T016t: Latitude,T017t: Longitude,T018t: Elevation,T020t: DNA Voucher Number,subject_associatedCollectors,subject_associatedTaxa,subject_basisOfRecord,subject_catalogNumber,subject_class,subject_collectionCode,subject_coordinateUncertaintyInMeters,subject_country,subject_county,subject_cultivationStatus,subject_dataGeneralizations,subject_dateIdentified,subject_day,subject_decimalLatitude,subject_decimalLongitude,subject_disposition,subject_dynamicProperties,subject_endDayOfYear,subject_establishmentMeans,subject_eventDate,subject_family,subject_fieldNumber,subject_file1,subject_file2,subject_genus,subject_geodeticDatum,subject_georeferenceProtocol,subject_georeferenceRemarks,subject_georeferenceSources,subject_georeferenceVerificationStatus,subject_georeferencedBy,subject_habitat,subject_identificationQualifier,subject_identificationReferences,subject_identificationRemarks,subject_identifiedBy,subject_individualCount,subject_informationWithheld,subject_infraspecificEpithet,subject_institutionCode,subject_kingdom,subject_lifeStage,subject_locality,subject_localitySecurity,subject_localitySecurityReason,subject_locationRemarks,subject_maximumDepthInMeters,subject_maximumElevationInMeters,subject_minimumDepthInMeters,subject_minimumElevationInMeters,subject_month,subject_municipality,subject_occurrenceID,subject_occurrenceRemarks,subject_order,subject_otherCatalogNumbers,subject_phylum,subject_preparations,subject_recordNumber,subject_recordedBy,subject_recordedByID,subject_reproductiveCondition,subject_retired,subject_samplingEffort,subject_samplingProtocol,subject_scientificName,subject_scientificNameAuthorship,subject_sex,subject_specificEpithet,subject_startDayOfYear,subject_stateProvince,subject_substrate,subject_taxonRank,subject_taxonRemarks,subject_typeStatus,subject_verbatimAttributes,subject_verbatimCoordinates,subject_verbatimDepth,subject_verbatimElevation,subject_verbatimEventDate,subject_year
2192661,United States of America,Cameron,Texas,Pupiliamumiko,Las Palomas W.M.A. Longoria Unit El. 90',June & Floyd Preston,10 - October - X,15,2006,"F&J Preston colln., MGCL Accession #2007-17",Not shown,,,90',LEP-33586,,,PreservedSpecimen,HLOPP03,Insecta,,,United States,,,,,,,,,,,,,Papilionidae,,HLOPP03Dorsal.JPG,HLOPP03Ventral.JPG,Indigofera,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T16:43:35.151Z', 'workflow_id': 2054, 'id': 1979786, 'subject_id': 2192661, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-20T16:10:42.041Z', 'retired_at': '2016-06-20T16:10:41.935Z'}",,,Indigofera spicata,Forssk.,,spicata,,Florida,,,,,,,,,,
2192666,United States of America,,Texas,Papilio rumiko,"Las Polomes W.M.A.
Longon's Limit E690'
Canyoters Co. Tomas ?","June Preston , Floyd Preston",10 - October - X,15,2006,,Not shown,,,,LEP-33587,,,PreservedSpecimen,HLOPP04,Insecta,,,United States,,,,,,,,,,,,,Papilionidae,,HLOPP04Dorsal.JPG,HLOPP04Ventral.JPG,Indigofera,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T15:54:36.375Z', 'workflow_id': 2054, 'id': 1984839, 'subject_id': 2192666, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-20T21:23:46.744Z', 'retired_at': '2016-06-20T21:23:46.518Z'}",,,Indigofera spicata,Forssk.,,spicata,,Florida,,,,,,,,,,
2192668,United States of America,Sierra,California,P. eurryprodon(?),"San Francisco State University
Sierra Nevada Field Camp Near Bassett",June & Floyd Preston,6 - June - VI,26,2004,,Not shown,,,5500',LEP 33584,,,PreservedSpecimen,HLOPP05,Insecta,,,United States,,,,,,,,,,,,,Papilionidae,,HLOPP05Dorsal.JPG,HLOPP05Ventral.JPG,Indigofera,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-20T21:29:08.743Z', 'workflow_id': 2054, 'id': 1990357, 'subject_id': 2192668, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-24T17:20:20.276Z', 'retired_at': '2016-06-24T17:20:20.244Z'}",,,Indigofera spicata,Forssk.,,spicata,,Florida,,,,,,,,,,
2192674,United States of America,Wasco,Oregon,P. eurymedon,Forest Service Rd 48/Forest Service Rd 4860 junction Mt. Hood National Forest,"June &
Floyd Preston",1 - January - I,21,2005,F & J Preston calls. MGCL Acc. no 2006-22. 265,Not shown,,,3400',LEP-33585,,,PreservedSpecimen,HLOPP06,Insecta,,,United States,,,,,,,,,,,,,Papilionidae,,HLOPP06Dorsal.JPG,HLOPP06Ventral.JPG,Indigofera,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-18T18:58:17.641Z', 'workflow_id': 2054, 'id': 1987244, 'subject_id': 2192674, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-21T23:25:42.887Z', 'retired_at': '2016-06-21T23:25:42.812Z'}",,,Indigofera spicata,Forssk.,,spicata,,Florida,,,,,,,,,,
2192676,Brazil,,,P. androgy,Parana,Kent Wilson,11 - November - XI,22,1958,"HLOPP 100
Kent Wilson Coll., MGCL Acc# 2009-24",Not shown,,,,,,,PreservedSpecimen,HLOPP100,Insecta,,,United States,,,,,,,,,,,,,Papilionidae,,HLOPP100Dorsal.JPG,HLOPP100Ventral.JPG,Indigofera,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T19:34:09.657Z', 'workflow_id': 2054, 'id': 1980678, 'subject_id': 2192676, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-17T23:17:19.211Z', 'retired_at': '2016-06-17T23:17:19.181Z'}",,,Indigofera spicata,Forssk.,,spicata,,Florida,,,,,,,,,,
2192678,El Salvador,,,P androgeus,Plan del Malasano. Ah Chapan.,K H Wilson,5 - May - V,1,1986,Ex-pupa. PHOTOGRAPHED specimen (20/H Tyler; Brown; & Wilson; 1992. Swallowtail Butterflies of the Americas Pl/fig 87/6,Female,,,850 m,,,,PreservedSpecimen,HLOPP101,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP101Dorsal.JPG,HLOPP101Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-18T03:50:36.856Z', 'workflow_id': 2054, 'id': 1986093, 'subject_id': 2192678, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-28T15:46:40.817Z', 'retired_at': '2016-06-28T15:46:40.781Z'}",,,,,,,,,,,,,,,,,,
2192680,India,,,,"Khasia Hills, Hamilton",Herbert Drace,Not Shown,Not Shown,1902,<NO MATCHES>,Not shown,,,,,,,PreservedSpecimen,HLOPP116,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP116Dorsal.JPG,HLOPP116Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T22:33:25.937Z', 'workflow_id': 2054, 'id': 1985812, 'subject_id': 2192680, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-21T21:46:19.884Z', 'retired_at': '2016-06-21T21:46:19.838Z'}",,,,,,,,,,,,,,,,,,
2192681,India,,,,,,Not Shown,Not Shown,Not Shown,,Not shown,,,,,,,PreservedSpecimen,HLOPP117,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP117Dorsal.JPG,HLOPP117Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-19T13:43:19.977Z', 'workflow_id': 2054, 'id': 1988271, 'subject_id': 2192681, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-27T20:14:48.094Z', 'retired_at': '2016-06-27T20:14:48.013Z'}",,,,,,,,,,,,,,,,,,
2192687,India,,,Papilis Casyake,"Calcutta, Barrackpore Park",G.A.J. Rothney pres.,Not Shown,Not Shown,1910,,Not shown,,,,,,,PreservedSpecimen,HLOPP118,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP118Dorsal.JPG,HLOPP118Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T19:26:31.411Z', 'workflow_id': 2054, 'id': 1980579, 'subject_id': 2192687, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-20T22:05:10.451Z', 'retired_at': '2016-06-20T22:05:10.367Z'}",,,,,,,,,,,,,,,,,,
2192690,India,,,,Assam,,Not Shown,Not Shown,Not Shown,Allyn Museum; Acc. 1966-1; HLOPP119,Not shown,,,,,,,PreservedSpecimen,HLOPP119,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP119Dorsal.JPG,HLOPP119Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T22:56:31.649Z', 'workflow_id': 2054, 'id': 1985874, 'subject_id': 2192690, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-22T16:47:29.622Z', 'retired_at': '2016-06-22T16:47:29.539Z'}",,,,,,,,,,,,,,,,,,
2192691,Jamaica,,,Heraclides melonius,St. Andrew,P. F. Milner,9 - September - IX,Not Shown,1969,Bred from larva on citrus. MGCI Accession #2010-5. P melonius.,Not shown,,,,LEP-33593,,,PreservedSpecimen,HLOPP11,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP11Dorsal.JPG,HLOPP11Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T09:44:01.519Z', 'workflow_id': 2054, 'id': 1984018, 'subject_id': 2192691, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-19T04:39:42.183Z', 'retired_at': '2016-06-19T04:39:42.071Z'}",,,,,,,,,,,,,,,,,,
2192695,India,,,,"""Mysore Pr., 2800-3800, W. Ghats, Balehonnur, Metraconda"", this is Chikkamagaluru district of the Indian state of Karnataka (wikipedia)",A. F. Evetts,Not Shown,Not Shown,1908,"Exchange, 1985 from HEC/UMO to AME/FSM no. Acc. 1985-5",Not shown,,,2800-3800,,,,PreservedSpecimen,HLOPP120,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP120Dorsal.JPG,HLOPP120Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-21T23:11:34.469Z', 'workflow_id': 2054, 'id': 1994984, 'subject_id': 2192695, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-28T02:29:10.682Z', 'retired_at': '2016-06-28T02:29:10.645Z'}",,,,,,,,,,,,,,,,,,
2192698,India,,,,"Calcutta, Barrackpore Park",GAJ Rothney,Not Shown,Not Shown,1910,,Not shown,,,,,,,PreservedSpecimen,HLOPP121,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP121Dorsal.JPG,HLOPP121Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T14:48:15.367Z', 'workflow_id': 2054, 'id': 1979426, 'subject_id': 2192698, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-24T11:58:35.063Z', 'retired_at': '2016-06-24T11:58:34.952Z'}",,,,,,,,,,,,,,,,,,
2192701,India,,,,Karwai,"C. McCain
A C Allyn",9 - September - IX,Not Shown,1940,,Not shown,,,,,,,PreservedSpecimen,HLOPP122,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP122Dorsal.JPG,HLOPP122Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T20:02:22.602Z', 'workflow_id': 2054, 'id': 1985471, 'subject_id': 2192701, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-22T01:02:47.199Z', 'retired_at': '2016-06-22T01:02:47.185Z'}",,,,,,,,,,,,,,,,,,
2192702,Unknown Country,,,Pajo clytia,,Jayeonte Brooks,Not Shown,Not Shown,Not Shown,,Not shown,,,,,,,PreservedSpecimen,HLOPP123,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP123Dorsal.JPG,,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T08:49:01.362Z', 'workflow_id': 2054, 'id': 1983930, 'subject_id': 2192702, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-22T15:06:18.492Z', 'retired_at': '2016-06-22T15:06:18.447Z'}",,,,,,,,,,,,,,,,,,
2192704,Unknown Country,,,,,H J ELWIN,Not Shown,Not Shown,<NO MATCHES>,"Exchange, 1985
from NEC/UMO
to AME FSM
no.
Acc. 1985-5",Not shown,,,,,,,PreservedSpecimen,HLOPP124,Insecta,,,,,,,,,,,,,,,,Papilionidae,,,HLOPP124Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-22T01:30:48.926Z', 'workflow_id': 2054, 'id': 1995274, 'subject_id': 2192704, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-25T16:06:53.640Z', 'retired_at': '2016-06-25T16:06:53.623Z'}",,,,,,,,,,,,,,,,,,
2192705,India,,,,Silchar,?VIL,Not Shown,Not Shown,1913,"Allyn Museum Acc. 1967-1, HLOPP 125",Not shown,,,,,,,PreservedSpecimen,HLOPP125,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP125Dorsal.JPG,,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T19:17:27.378Z', 'workflow_id': 2054, 'id': 1980464, 'subject_id': 2192705, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-21T18:15:27.166Z', 'retired_at': '2016-06-21T18:15:27.129Z'}",,,,,,,,,,,,,,,,,,
2192709,Unknown Country,,,,"Assam
Khasia Hills","Col. Swinho? 1895.
Native Coll. 1895.
Ex Coll. Swinhoe
Presented '95 by
Coo. C. Swinhoe",Not Shown,Not Shown,1895,"Exchange 1985
from HEC/UMO
to AME/FSM
no.
Acc. 1985-5
ANSAM
Khasi Hills.
Native Coll. 1895.
Ex. Coll. Swine.
Presented ""95 by
Col.C.Swinhoe.",Male,,,,,,,PreservedSpecimen,HLOPP126,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP126Dorsal.JPG,HLOPP126Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-21T16:24:10.583Z', 'workflow_id': 2054, 'id': 1993038, 'subject_id': 2192709, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-24T04:16:48.851Z', 'retired_at': '2016-06-24T04:16:48.666Z'}",,,,,,,,,,,,,,,,,,
2192712,India,,,,"Mandi, N.W. Himalaya",G. Young,Not Shown,Not Shown,1883,"Exchange, 1985 from HEC/UMO to AME/EEM no. Acc. 1985-5; Ex. Coll. H.J. Elwes 1920",Not shown,,,3-5000 ft.,,,,PreservedSpecimen,HLOPP127,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP127Dorsal.JPG,HLOPP127Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T10:59:44.401Z', 'workflow_id': 2054, 'id': 1984181, 'subject_id': 2192712, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-17T20:39:59.337Z', 'retired_at': '2016-06-17T20:39:59.238Z'}",,,,,,,,,,,,,,,,,,
2192714,Myanmar,,,,Burma: Nam La Bawdwin,S. & L. Steinhauser,5 - May - V,21,1963,,Not shown,,,,,,,PreservedSpecimen,HLOPP128,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP128Dorsal.JPG,HLOPP128Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-20T21:36:47.683Z', 'workflow_id': 2054, 'id': 1990371, 'subject_id': 2192714, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-23T16:32:55.991Z', 'retired_at': '2016-06-23T16:32:55.831Z'}",,,,,,,,,,,,,,,,,,
2192717,Myanmar,,,,NAM LA Bawdwin,"Bgwiwin, L. Steinhauser",10 - October - X,3,1963,A. C. Allyn Acc. 1973-23,Not shown,,,,,,,PreservedSpecimen,HLOPP129,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP129Dorsal.JPG,HLOPP129Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T18:56:53.471Z', 'workflow_id': 2054, 'id': 1985289, 'subject_id': 2192717, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-21T23:37:07.058Z', 'retired_at': '2016-06-21T23:37:07.023Z'}",,,,,,,,,,,,,,,,,,
2192720,Jamaica,,,Heraclides melonius,St. Andrew,P. F. MILNER,Not Shown,Not Shown,1970,"West Indies
Bred from larva on citrus
Heraclides meolonius (Roth and Jord.)
MGCL Accession #2010-5
HLOPP12
P. melonius",Not shown,,,,LEP-33594,,,PreservedSpecimen,HLOPP12,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP12Dorsal.JPG,HLOPP12Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T19:17:58.523Z', 'workflow_id': 2054, 'id': 1980471, 'subject_id': 2192720, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-19T20:03:49.026Z', 'retired_at': '2016-06-19T20:03:48.991Z'}",,,,,,,,,,,,,,,,,,
2192722,Myanmar,,,,Rangoon (Yangon),<NO MATCHES>,Not Shown,Not Shown,<NO MATCHES>,,Not shown,,,,,,,PreservedSpecimen,HLOPP130,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP130Dorsal.JPG,HLOPP130Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-23T17:19:20.474Z', 'workflow_id': 2054, 'id': 2000331, 'subject_id': 2192722, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-27T14:59:50.964Z', 'retired_at': '2016-06-27T14:59:50.723Z'}",,,,,,,,,,,,,,,,,,
2192724,Myanmar,,,,NAM LA Bawdwin,S. & L. Steinhauser,5 - May - V,15,1963,A.O. Allyn. Acc. 1973-23.,Not shown,,,,,,,PreservedSpecimen,HLOPP131,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP131Dorsal.JPG,HLOPP131Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T06:36:02.933Z', 'workflow_id': 2054, 'id': 1983700, 'subject_id': 2192724, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-22T23:52:53.822Z', 'retired_at': '2016-06-22T23:52:53.724Z'}",,,,,,,,,,,,,,,,,,
2192725,Myanmar,,,,"Recorded as:
Burma
Rangoon","J And L Steinhauser
AC Allyn",2 - February - II,Not Shown,1960,,Not shown,,,,,,,PreservedSpecimen,HLOPP132,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP132Dorsal.JPG,HLOPP132Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T19:48:04.045Z', 'workflow_id': 2054, 'id': 1980831, 'subject_id': 2192725, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-21T09:03:28.527Z', 'retired_at': '2016-06-21T09:03:28.489Z'}",,,,,,,,,,,,,,,,,,
2192730,Myanmar,,,,Rangoon,S & L Steinhauser,<NO MATCHES>,Not Shown,1960,A. C. Allyn Acc. 1973-23,Not shown,,,,,,,PreservedSpecimen,HLOPP133,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP133Dorsal.JPG,HLOPP133Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T20:42:47.398Z', 'workflow_id': 2054, 'id': 1985575, 'subject_id': 2192730, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-22T20:29:48.370Z', 'retired_at': '2016-06-22T20:29:48.332Z'}",,,,,,,,,,,,,,,,,,
2192732,Myanmar,,,,Rangoon,S. & L. Steinhauser,7 - July - VII,19,1961,<NO MATCHES>,Not shown,,,,,,,PreservedSpecimen,HLOPP134,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP134Dorsal.JPG,HLOPP134Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T22:53:25.319Z', 'workflow_id': 2054, 'id': 1982028, 'subject_id': 2192732, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-22T01:34:58.797Z', 'retired_at': '2016-06-22T01:34:58.771Z'}",,,,,,,,,,,,,,,,,,
2192735,Myanmar,,,,Rangoon,"S. Steinhauser, L. Steinhauser",9 - September - IX,Not Shown,1960,,Not shown,,,,,,,PreservedSpecimen,HLOPP135,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP135Dorsal.JPG,HLOPP135Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-18T06:58:53.895Z', 'workflow_id': 2054, 'id': 1986207, 'subject_id': 2192735, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-27T16:52:48.967Z', 'retired_at': '2016-06-27T16:52:48.950Z'}",,,,,,,,,,,,,,,,,,
2192738,Myanmar,,,,"Nam La
Bawdwin",S. & L. Steinhauser,7 - July - VII,Not Shown,1962,A. C. Allyn Acc. 1973-23,Not shown,,,,,,,PreservedSpecimen,HLOPP136,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP136Dorsal.JPG,HLOPP136Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-17T12:41:36.471Z', 'workflow_id': 2054, 'id': 1984466, 'subject_id': 2192738, 'classifications_count': 4, 'retirement_reason': None, 'updated_at': '2016-06-22T12:48:28.629Z', 'retired_at': '2016-06-22T12:48:28.619Z'}",,,,,,,,,,,,,,,,,,
2192741,India,,,,Karwar,C. McCain,9 - September - IX,13,1940,,Not shown,,,,,,,PreservedSpecimen,HLOPP137,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP137Dorsal.JPG,HLOPP137Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T19:31:36.508Z', 'workflow_id': 2054, 'id': 1980651, 'subject_id': 2192741, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-19T00:28:46.388Z', 'retired_at': '2016-06-19T00:28:46.352Z'}",,,,,,,,,,,,,,,,,,
2192745,<NO MATCHES>,,,,"Bernanimnyo, burmah",W. Doherty,5 - May - V,Not Shown,1890,"Ex coll
H. W. Elwes
1990.
Exchange, 1985
from HEC/UMO
to AME/FSM
no
Acc. 1985-5",Not shown,,,5500-7000 ft.,,,,PreservedSpecimen,HLOPP138,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP138Dorsal.JPG,HLOPP138Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-22T08:36:18.457Z', 'workflow_id': 2054, 'id': 1995844, 'subject_id': 2192745, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-28T00:53:59.132Z', 'retired_at': '2016-06-28T00:53:58.991Z'}",,,,,,,,,,,,,,,,,,
2192747,Myanmar,,,,,S. & L. Steinhauser,Not Shown,Not Shown,1962,,Not shown,,,,,,,PreservedSpecimen,HLOPP139,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP139Dorsal.JPG,HLOPP139Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T19:38:56.355Z', 'workflow_id': 2054, 'id': 1980728, 'subject_id': 2192747, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-17T22:06:36.333Z', 'retired_at': '2016-06-17T22:06:36.250Z'}",,,,,,,,,,,,,,,,,,
2192754,United States of America,,Florida,P. glaucus,,,Not Shown,Not Shown,Not Shown,41. FSCA Florida State Collection of Arthropods,Not shown,,,,LEP-33595,,,PreservedSpecimen,HLOPP13,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP13Dorsal.JPG,HLOPP13Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-16T18:28:14.509Z', 'workflow_id': 2054, 'id': 1980055, 'subject_id': 2192754, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-22T22:09:50.209Z', 'retired_at': '2016-06-22T22:09:50.130Z'}",,,,,,,,,,,,,,,,,,
2192755,Myanmar,,,,"Burna, Mergui",S. & L. Steinhauser,Not Shown,Not Shown,1960,<NO MATCHES>,Not shown,,,,,,,PreservedSpecimen,HLOPP140,Insecta,,,,,,,,,,,,,,,,Papilionidae,,HLOPP140Dorsal.JPG,HLOPP140Ventral.JPG,,,,,,,,,,,,,,,,MGCL,Animalia,,,,,,,,,,,,,,Lepidoptera,,Arthropoda,,,,,,"{'created_at': '2016-06-20T20:44:17.747Z', 'workflow_id': 2054, 'id': 1990261, 'subject_id': 2192755, 'classifications_count': 3, 'retirement_reason': None, 'updated_at': '2016-06-26T22:13:25.381Z', 'retired_at': '2016-06-26T22:13:25.314Z'}",,,,,,,,,,,,,,,,,,
